condition,time,mean,sd,n,sem,ci
neutral,25201,0.05889792891426126,0.24471269020643485,5,0.10943884205168707,0.21450013042130664
neutral,25401,0.0477661856301793,0.26383868891555357,5,0.1179922487019196,0.23126480745576242
neutral,25601,0.036832313895650025,0.261890082387412,5,0.11712080537025472,0.22955677852569925
neutral,25801,0.03413623758240401,0.25860556335704127,5,0.1156519238051946,0.2266777706581814
neutral,26001,0.026662302553806205,0.2601719357595086,5,0.1163524268391939,0.22805075660482005
neutral,26201,0.039218785375067296,0.2578796222622952,5,0.11532727307809204,0.2260414552330604
neutral,26401,0.05897636186611881,0.2664539915285355,5,0.11916184758679169,0.2335572212701117
neutral,26601,0.05914910150922619,0.25240323845577683,5,0.11287815978564121,0.22124119317985677
neutral,26801,0.04125870271608506,0.26497129596925123,5,0.11849876597469235,0.232257581310397
neutral,27001,0.035620081187585174,0.26053246491494103,5,0.11651366037907741,0.2283667743429917
neutral,27201,0.05098405758856743,0.2589110399220755,5,0.11578853707818453,0.22694553267324166
neutral,27401,0.0685541360537692,0.25772141944203,5,0.11525652262602298,0.22590278434700503
neutral,27601,0.05634416840113341,0.2743505629743244,5,0.12269330169518525,0.24047887132256307
neutral,27801,0.04959583172660772,0.271071519173127,5,0.12122686872704991,0.23760466270501782
neutral,28001,0.03844275551525029,0.2576040263189035,5,0.11520402282534262,0.2257998847376715
neutral,28201,0.038468559014703314,0.27994208533078524,5,0.1251939065125365,0.24538005676457156
neutral,28401,0.00179809106106779,0.2631166531551231,5,0.11766934449341795,0.2306319152070992
neutral,28601,0.021418615010878245,0.2970935826047505,5,0.1328642892766342,0.2604140069822031
neutral,28801,0.03696570206157616,0.295466567767926,5,0.13213666612152616,0.25898786559819126
neutral,29001,0.03990445291094153,0.28483779796992875,5,0.12738333576442246,0.249671338098268
neutral,29201,0.04740745729046984,0.2967842813872564,5,0.13272596556706617,0.2601428925114497
neutral,29401,0.0686596238965408,0.30190651431062504,5,0.13501669776971412,0.26463272762863965
neutral,29601,0.07133869580142556,0.29125898945424133,5,0.1302549798955156,0.2552997605952106
neutral,29801,0.07800232831991785,0.29589615608179154,5,0.13232878385595473,0.25936441635767127
neutral,30001,0.09247420016848212,0.304824771212278,5,0.13632178193129493,0.26719069258533806
