pid,trial,condition,samples,n,sum_na,pupil
1,2,reward,1001,200,0,0.493989613015542
1,2,reward,1201,200,0,0.6016932110710422
1,2,reward,1401,200,0,0.6988429134103004
1,2,reward,1601,200,0,0.7804989438567994
1,2,reward,1801,200,0,0.8744260836232606
1,2,reward,2001,200,0,0.9445331112429367
1,2,reward,2201,200,0,0.9783484948555946
1,2,reward,2401,200,0,0.961000571489304
1,2,reward,2601,200,0,0.7799756038312706
1,2,reward,2801,200,0,0.5200946243568307
1,2,reward,3001,200,0,0.5521364411437449
1,2,reward,3201,200,0,0.7674026275895007
1,2,reward,3401,200,0,0.9083022027376688
1,2,reward,3601,200,0,0.9484590588580485
1,2,reward,3801,200,0,0.7736873259242116
1,2,reward,4001,200,0,0.7225090024973294
1,2,reward,4201,200,0,0.6840567466744895
1,2,reward,4401,200,0,0.5960336527494381
1,2,reward,4601,200,0,0.5053831912263725
1,2,reward,4801,200,0,0.3256814358088185
1,2,reward,5001,200,0,0.37371040006518313
1,2,reward,5201,200,0,0.5149966132737868
1,2,reward,5401,200,0,0.5999840928544826
1,2,reward,5601,200,0,0.6349470331417215
1,2,reward,5801,200,0,0.5890849052521963
1,2,reward,6001,200,0,0.43540831533591495
1,2,reward,6201,200,0,0.46627449314492647
1,2,reward,6401,200,0,0.5729294918491783
1,2,reward,6601,200,0,0.5467117880090705
1,2,reward,6801,200,0,0.5723830778042714
1,2,reward,7001,200,0,0.6782653709819345
1,2,reward,7201,200,0,0.6122060943756019
1,2,reward,7401,200,0,0.46445122315106985
1,2,reward,7601,200,0,0.44224997727160437
1,2,reward,7801,200,0,0.5410822637030083
1,2,reward,8001,200,0,0.6281500937984257
1,2,reward,8201,200,0,0.6545853965127257
1,2,reward,8401,200,0,0.5963735989598176
1,2,reward,8601,200,0,0.6172915188567654
1,2,reward,8801,200,0,0.6555962786532104
1,2,reward,9001,200,0,0.6764837565376984
1,2,reward,9201,200,0,0.5729172726128703
1,2,reward,9401,200,0,0.4075482150561534
1,2,reward,9601,200,0,0.4422102581565124
1,2,reward,9801,200,0,0.6225629543280583
1,2,reward,10001,200,0,0.7274206106931009
1,2,reward,10201,200,0,0.6884445414547209
1,2,reward,10401,200,0,0.44372227257826563
1,2,reward,10601,200,0,0.32640150380496524
1,2,reward,10801,200,0,0.4157379062176844
1,2,reward,11001,200,0,0.5807803402993378
1,2,reward,11201,200,0,0.6932610261499187
1,2,reward,11401,200,0,0.745165859720693
1,2,reward,11601,200,0,0.6985126092395859
1,2,reward,11801,200,0,0.47557472601769246
1,2,reward,12001,200,0,0.5045228458937542
1,2,reward,12201,200,0,0.5892644291535242
1,2,reward,12401,200,0,0.36896642615212477
1,2,reward,12601,200,0,0.07437465531191616
1,2,reward,12801,200,0,-0.04285642945368955
1,2,reward,13001,200,0,-0.005769110757458908
1,2,reward,13201,200,0,0.023293965767589624
1,2,reward,13401,200,0,0.04309509730602073
1,2,reward,13601,200,0,0.16955013813743156
1,2,reward,13801,200,0,0.3128773190986594
1,2,reward,14001,200,0,0.2836012299379299
1,2,reward,14201,200,0,0.2231335588605438
1,2,reward,14401,200,0,0.31550515087393166
1,2,reward,14601,200,0,0.40075955771759747
1,2,reward,14801,200,0,0.290650949654399
1,2,reward,15001,200,0,0.09002103852064995
1,2,reward,15201,200,0,0.029294206780790817
1,2,reward,15401,200,0,0.02319572076921042
1,2,reward,15601,200,0,-0.051223305997444096
1,2,reward,15801,200,0,-0.10931264536151816
1,2,reward,16001,200,0,-0.2398804133476251
1,2,reward,16201,200,0,-0.2432308443642402
1,2,reward,16401,200,0,-0.06392779253083748
1,2,reward,16601,200,0,0.05328509745146213
1,2,reward,16801,200,0,0.020750266359147694
1,2,reward,17001,200,0,0.019326148188488317
1,2,reward,17201,200,0,-0.07127793806358668
1,2,reward,17401,200,0,-0.1646036892876694
1,2,reward,17601,200,0,-0.10534119441794831
1,2,reward,17801,200,0,-0.03952871738509797
1,2,reward,18001,200,0,-0.041176283927810906
1,2,reward,18201,200,0,-0.03996689880198438
1,2,reward,18401,200,0,0.041877359137833685
1,2,reward,18601,200,0,0.1494187949975554
1,2,reward,18801,200,0,0.1748205294387086
1,2,reward,19001,200,0,0.12040277029654244
1,2,reward,19201,200,0,0.0674460616721474
1,2,reward,19401,200,0,0.016402712233357358
1,2,reward,19601,200,0,0.023910856518926903
1,2,reward,19801,200,0,0.16796962909455426
1,2,reward,20001,200,0,0.37778789762509435
1,2,reward,20201,200,0,0.46479732704946547
1,2,reward,20401,200,0,0.4735275148567796
1,2,reward,20601,200,0,0.47667471196316796
1,2,reward,20801,200,0,0.4454440786088571
1,2,reward,21001,200,0,0.4298316917073579
1,2,reward,21201,200,0,0.512005085943103
1,2,reward,21401,200,0,0.5996731639985912
1,2,reward,21601,200,2,0.6292709555020946
1,2,reward,22001,200,47,0.6992811472049162
1,2,reward,22201,200,0,0.661718024053652
1,2,reward,22401,200,0,0.38165876531680026
1,2,reward,22601,200,0,0.2613735346384997
1,2,reward,22801,200,0,0.26183969522789274
1,2,reward,23001,200,0,0.21308856500941878
1,2,reward,23201,200,0,0.23828550394317322
1,2,reward,23401,200,0,0.30230076685080987
1,2,reward,23601,200,0,0.26121930745668637
1,2,reward,23801,200,0,0.29316998315618326
1,2,reward,24001,200,0,0.3949526019789055
1,2,reward,24201,200,0,0.47828528766004336
1,2,reward,24401,200,0,0.5320455013873836
1,2,reward,24601,200,0,0.581527232740713
1,2,reward,24801,200,0,0.631666980909575
1,2,reward,25001,200,0,0.6285563845175844
1,2,reward,25201,200,0,0.6229541465330848
1,2,reward,25401,200,0,0.6471199236304866
1,2,reward,25601,200,0,0.6924123129530092
1,2,reward,25801,200,0,0.7137485957397333
1,2,reward,26001,200,0,0.7057391621335763
1,2,reward,26201,200,0,0.5278822682269447
1,2,reward,26401,200,0,0.3035016008476676
1,2,reward,26601,200,0,0.31164158037081974
1,2,reward,26801,200,0,0.39580793817192084
1,2,reward,27001,200,0,0.40388323014118205
1,2,reward,27201,200,0,0.3571683280584558
1,2,reward,27401,200,0,0.2357608381881125
1,2,reward,27601,200,0,0.1221521218654217
1,2,reward,27801,200,0,0.1845354581011521
1,2,reward,28001,200,0,0.15411966151841044
1,2,reward,28201,200,0,0.08251073079735141
1,2,reward,28401,200,0,0.10571493331482545
1,2,reward,28601,200,0,0.07285333170356922
1,2,reward,28801,200,0,-0.021605429992490526
1,2,reward,29001,200,0,-0.04141947061697616
1,2,reward,29201,200,0,0.02169510093103808
1,2,reward,29401,200,0,0.19923079004258645
1,2,reward,29601,200,0,0.30661270915226485
1,2,reward,29801,200,0,0.3536715698764734
1,2,reward,30001,200,0,0.3858842881968746
1,2,reward,30201,200,0,0.4217041615899358
1,2,reward,30401,200,0,0.4383984228866337
1,2,reward,30601,200,0,0.42577513836836256
1,2,reward,30801,200,0,0.34182022635711173
1,2,reward,31001,200,0,0.1945022324924668
1,2,reward,31201,200,0,0.20653987362667053
1,2,reward,31401,200,0,0.22541752843648002
1,2,reward,31601,200,0,0.16896490788246657
1,2,reward,31801,200,0,0.12466022154477509
1,2,reward,32001,200,0,0.08725114430838603
1,2,reward,32201,200,0,0.155882009907915
1,2,reward,32401,200,0,0.32358466246045886
1,2,reward,32601,200,0,0.4359688893570882
1,2,reward,32801,200,0,0.40839675352614696
1,2,reward,33001,200,0,0.38040441356932525
1,2,reward,33201,200,0,0.4488201138074638
1,2,reward,33401,200,0,0.4957943907362804
1,2,reward,33601,200,0,0.5177167921842329
1,2,reward,33801,200,0,0.5405522810937233
1,2,reward,34001,200,0,0.5681847462367223
1,2,reward,34201,200,0,0.5816236620193589
1,2,reward,34401,200,0,0.6028305990646549
1,2,reward,34601,200,0,0.6269399345726897
1,2,reward,34801,200,0,0.6110876250265321
1,2,reward,35001,200,0,0.6110302783778955
1,2,reward,35201,200,0,0.547925628877632
1,2,reward,35401,200,0,0.48092150334407313
1,2,reward,35601,200,0,0.4190049291298436
1,2,reward,35801,200,0,0.3300604370731785
1,2,reward,36001,200,0,0.15532886982135485
1,2,reward,36201,200,0,0.04958639101621114
1,2,reward,36401,200,0,0.13216234967773918
1,2,reward,36601,200,0,0.22595844748476399
1,2,reward,36801,200,0,0.3003681461044123
1,2,reward,37001,200,0,0.2557233874192333
1,2,reward,37201,200,0,0.11266528281145045
1,2,reward,37401,200,0,0.06269225281672546
1,2,reward,37601,200,0,0.10197407566280502
1,2,reward,37801,200,41,0.18307864073074503
1,2,reward,38201,200,125,-0.01963854294000131
1,2,reward,38401,200,0,0.13869739216901253
1,2,reward,38601,200,0,0.06762793402723188
1,2,reward,38801,200,190,-0.07175431357241085
1,2,reward,39201,200,9,-0.25960439860558526
1,2,reward,39401,200,0,-0.11788464108275028
1,2,reward,39601,200,0,-0.2532285943830543
1,2,reward,39801,194,0,-0.3375654408542184
1,3,neutral,1,200,0,0.2516389710365967
1,3,neutral,201,200,0,0.27835262877339095
1,3,neutral,401,200,0,0.3484912844556702
1,3,neutral,601,200,0,0.35881029621358884
1,3,neutral,801,200,0,0.42425307025569325
1,3,neutral,1001,200,0,0.587246083634507
1,3,neutral,1201,200,0,0.738023719385334
1,3,neutral,1401,200,0,0.8499230705021972
1,3,neutral,1601,200,0,0.9514993707324212
1,3,neutral,1801,200,0,1.023332736206013
1,3,neutral,2001,200,0,1.064346345081067
1,3,neutral,2201,200,0,1.0808872375099052
1,3,neutral,2401,200,0,1.1113145900966934
1,3,neutral,2601,200,64,1.1442744567402114
1,3,neutral,3201,200,35,0.6843135542205783
1,3,neutral,3401,200,0,0.625765957800238
1,3,neutral,3601,200,0,0.4107857631692747
1,3,neutral,3801,200,0,0.21216845809029808
1,3,neutral,4001,200,0,0.10399755914908997
