pid,trial,condition,time,pupil
3,5,reward,24201,0.6594704422339122
3,5,reward,24401,0.6307689589965849
3,5,reward,24601,0.6479816896257883
3,5,reward,24801,0.6827880106217755
3,6,neutral,15001,0.44536924565856334
3,6,neutral,15201,0.4769375468310335
3,6,neutral,15401,0.4539505073201864
3,6,neutral,15601,0.4327440813828
3,6,neutral,15801,0.42434929538894217
3,6,neutral,16001,0.4328999549062257
3,6,neutral,16201,0.44075439335349825
3,6,neutral,16401,0.448462648308902
3,6,neutral,16601,0.4365799567846823
3,6,neutral,16801,0.42278093722500376
3,6,neutral,17001,0.4208950081860632
3,6,neutral,17201,0.4071092075303064
3,6,neutral,17401,0.4025090532835724
3,6,neutral,17601,0.35384806598671625
3,6,neutral,17801,0.2778111244410445
3,6,neutral,18001,0.23177572396105775
3,6,neutral,18201,0.20415139778002425
3,6,neutral,18401,0.21173314801026408
3,6,neutral,19601,0.4686794749287337
3,6,neutral,19801,0.4475717435813027
3,6,neutral,20001,0.40041600266797056
3,6,neutral,20201,0.3042050779553575
3,6,neutral,20401,0.2552879371868196
3,6,neutral,20601,0.238603707610892
3,6,neutral,21001,0.2494130746476645
3,6,neutral,21201,0.32498756102146054
3,6,neutral,21401,0.3913116890657686
3,6,neutral,21601,0.35608323087245575
3,6,neutral,21801,0.3412558116666633
3,6,neutral,22001,0.3330868947209512
3,6,neutral,22201,0.37567500851702207
3,6,neutral,22401,0.4185592586516764
3,6,neutral,22601,0.3977795850590317
3,6,neutral,22801,0.3485068591252495
3,6,neutral,23201,0.3473132544464392
3,6,neutral,23401,0.3570083761901415
3,6,neutral,23601,0.3186384844102492
3,6,neutral,23801,0.20494146121611465
3,6,neutral,24001,0.17774773171306807
3,6,neutral,24401,0.20755509260489827
3,6,neutral,24601,0.2588607766591712
3,6,neutral,24801,0.2437596342651194
3,7,neutral,15001,0.1773105980710393
3,7,neutral,15401,0.17256273272296596
3,7,neutral,15601,0.17268342572800452
3,7,neutral,15801,0.18717598369851132
3,7,neutral,16001,0.1723888077004358
3,7,neutral,16201,0.1390512368660718
3,7,neutral,16401,0.1273837116554408
3,7,neutral,16601,0.1324153212352691
3,7,neutral,16801,0.10355623130178482
3,7,neutral,17001,0.09622768937939093
3,7,neutral,17201,0.12435299643330763
3,7,neutral,17401,0.2010225564996884
3,7,neutral,17601,0.219227288585726
3,7,neutral,17801,0.2014037921608457
3,7,neutral,18001,0.23619729316455895
3,7,neutral,18201,0.17621819135602945
3,7,neutral,18401,0.16197920363577123
3,7,neutral,18601,0.16745468777713704
3,7,neutral,18801,0.19457530553004768
3,7,neutral,19001,0.24282667911592332
